uniqueSampleKey,uniquePatientKey,entrezGeneId,molecularProfileId,sampleId,patientId,studyId,value
"VENHQS1PUi1BNUpHLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpHOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JG-01","TCGA-OR-A5JG","acc_tcga",41.0856
"VENHQS1PUi1BNUpJLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpJOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JI-01","TCGA-OR-A5JI","acc_tcga",870.4903
"VENHQS1PUi1BNUpKLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpKOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JJ-01","TCGA-OR-A5JJ","acc_tcga",19.1879
"VENHQS1PUi1BNUpLLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpLOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JK-01","TCGA-OR-A5JK","acc_tcga",48.4134
"VENHQS1PUi1BNUpMLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpMOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JL-01","TCGA-OR-A5JL","acc_tcga",4.2283
"VENHQS1PUi1BNUpNLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpNOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JM-01","TCGA-OR-A5JM","acc_tcga",24.1379
"VENHQS1PUi1BNUpPLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpPOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JO-01","TCGA-OR-A5JO","acc_tcga",229.2642
"VENHQS1PUi1BNUpQLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpQOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JP-01","TCGA-OR-A5JP","acc_tcga",162.8063
"VENHQS1PUi1BNUpRLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpROmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JQ-01","TCGA-OR-A5JQ","acc_tcga",222.2594
"VENHQS1PUi1BNUpSLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpSOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JR-01","TCGA-OR-A5JR","acc_tcga",261.2113
"VENHQS1PUi1BNUpTLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpTOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JS-01","TCGA-OR-A5JS","acc_tcga",9.9889
"VENHQS1PUi1BNUpULTAxOmFjY190Y2dh","VENHQS1PUi1BNUpUOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JT-01","TCGA-OR-A5JT","acc_tcga",75.8024
"VENHQS1PUi1BNUpWLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpWOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JV-01","TCGA-OR-A5JV","acc_tcga",37.3364
"VENHQS1PUi1BNUpXLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpXOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JW-01","TCGA-OR-A5JW","acc_tcga",8.3458
"VENHQS1PUi1BNUpYLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpYOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JX-01","TCGA-OR-A5JX","acc_tcga",401.1545
"VENHQS1PUi1BNUpZLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpZOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JY-01","TCGA-OR-A5JY","acc_tcga",5.8218
"VENHQS1PUi1BNUpaLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpaOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JZ-01","TCGA-OR-A5JZ","acc_tcga",150.3476
